年,期,登番,名前漢字,名前カナ,支部,級,年号,生年月日,性別,年齢,身長,体重,血液型,勝率,複勝率,1着回数,2着回数,出走回数,優出回数,優勝回数,平均スタートタイミング,1コース進入回数,1コース複勝率,1コース平均スタートタイミング,1コース平均スタート順位,2コース進入回数,2コース複勝率,2コース平均スタートタイミング,2コース平均スタート順位,3コース進入回数,3コース複勝率,3コース平均スタートタイミング,3コース平均スタート順位,4コース進入回数,4コース複勝率,4コース平均スタートタイミング,4コース平均スタート順位,5コース進入回数,5コース複勝率,5コース平均スタートタイミング,5コース平均スタート順位,6コース進入回数,6コース複勝率,6コース平均スタートタイミング,6コース平均スタート順位,前期級,前々期級,前々々期級,前期能力指数,今期能力指数,年,期,算出期間自,算出期間至,養成期,1コース1着回数,1コース2着回数,1コース3着回数,1コース4着回数,1コース5着回数,1コース6着回数,1コースF回数,1コースL0回数,1コースL1回数,1コースK0回数,1コースK1回数,1コースS0回数,1コースS1回数,1コースS2回数,2コース1着回数,2コース2着回数,2コース3着回数,2コース4着回数,2コース5着回数,2コース6着回数,2コースF回数,2コースL0回数,2コースL1回数,2コースK0回数,2コースK1回数,2コースS0回数,2コースS1回数,2コースS2回数,3コース1着回数,3コース2着回数,3コース3着回数,3コース4着回数,3コース5着回数,3コース6着回数,3コースF回数,3コースL0回数,3コースL1回数,3コースK0回数,3コースK1回数,3コースS0回数,3コースS1回数,3コースS2回数,4コース1着回数,4コース2着回数,4コース3着回数,4コース4着回数,4コース5着回数,4コース6着回数,4コースF回数,4コースL0回数,4コースL1回数,4コースK0回数,4コースK1回数,4コースS0回数,4コースS1回数,4コースS2回数,5コース1着回数,5コース2着回数,5コース3着回数,5コース4着回数,5コース5着回数,5コース6着回数,5コースF回数,5コースL0回数,5コースL1回数,5コースK0回数,5コースK1回数,5コースS0回数,5コースS1回数,5コースS2回数,6コース1着回数,6コース2着回数,6コース3着回数,6コース4着回数,6コース5着回数,6コース6着回数,6コースF回数,6コースL0回数,6コースL1回数,6コースK0回数,6コースK1回数,6コースS0回数,6コースS1回数,6コースS2回数,コースなしL0回数,コースなしL1回数,コースなしK0回数,コースなしK1回数,出身地
2025,0,3176,長谷川 巌,ハセガワ イワオ,山口,B1,S,390518,1,60,159,51,A,4.41,21.5,10,15,116,0,0,0.18,17,47.0,0.14,1.6,23,34.7,0.17,3.5,20,15.0,0.17,3.6,19,10.5,0.19,3.9,22,18.1,0.18,3.8,15,0.0,0.23,4.7,B1,B1,B1,48.0,47.0,2025,1,2024-05-01,2024-10-31,55,6,2,4,2,2,1,0,0,0,0,0,0,0,0,3,5,4,6,3,1,0,0,0,0,0,0,1,0,0,3,4,6,4,3,0,0,0,0,0,0,0,0,0,2,6,4,1,6,0,0,0,0,0,0,0,0,1,3,3,3,6,6,0,0,0,0,0,0,0,0,0,0,0,4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,山口
2025,0,3188,日高 逸子,ヒダカ イツコ,福岡,A2,S,361007,2,63,154,45,A,6.09,41.2,24,37,148,3,0,0.16,34,73.5,0.15,3.1,24,37.5,0.19,3.8,20,55.0,0.16,3.0,31,29.0,0.16,3.7,23,17.3,0.15,3.2,16,18.7,0.16,3.8,A2,A1,A1,53.0,54.0,2025,1,2024-05-01,2024-10-31,56,16,9,5,3,0,1,0,0,0,0,0,0,0,0,0,9,6,5,4,0,0,0,0,0,0,0,0,0,4,7,5,1,2,1,0,0,0,0,0,0,0,0,3,6,10,4,2,5,0,0,0,0,0,0,0,1,1,3,5,7,5,2,0,0,0,0,0,0,0,0,0,3,2,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,宮崎
2025,0,3202,三品 隆浩,ミシナ タカヒロ,東京,B1,S,400416,1,59,158,55,A,4.95,31.9,9,22,97,0,0,0.17,19,52.6,0.16,3.0,16,62.5,0.18,3.3,14,35.7,0.16,3.6,15,13.3,0.16,2.9,15,13.3,0.18,4.1,18,11.1,0.2,4.0,B1,B1,B1,46.0,48.0,2025,1,2024-05-01,2024-10-31,56,4,6,4,3,1,1,0,0,0,0,0,0,0,0,1,9,1,1,1,3,0,0,0,0,0,0,0,0,2,3,4,1,1,3,0,0,0,0,0,0,0,0,1,1,2,3,5,3,0,0,0,0,0,1,0,0,1,1,3,4,4,2,0,0,0,0,0,0,0,0,0,2,3,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,東京
2025,0,3207,田村 美和,タムラ ミワ,東京,B1,S,401101,2,59,156,54,A,4.35,21.2,3,14,80,0,0,0.17,13,30.7,0.21,4.1,16,12.5,0.17,3.6,17,47.0,0.19,3.0,11,9.0,0.16,2.9,19,10.5,0.14,2.9,4,0.0,0.2,4.5,B1,B2,B1,44.0,47.0,2025,1,2024-05-01,2024-10-31,56,1,3,1,4,2,2,0,0,0,0,0,0,0,0,0,2,6,3,2,2,0,0,0,0,0,0,1,0,2,6,0,4,3,2,0,0,0,0,0,0,0,0,0,1,4,4,1,0,1,0,0,0,0,0,0,0,0,2,2,4,6,5,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,沖縄
2025,0,3211,北川 敏弘,キタガワ トシヒロ,佐賀,B1,S,370127,1,62,162,55,A,4.24,19.1,5,14,99,0,0,0.17,15,40.0,0.2,4.3,19,10.5,0.19,3.9,19,26.3,0.18,3.5,17,23.5,0.13,2.5,18,11.1,0.13,3.2,11,0.0,0.18,3.6,B1,B1,B1,49.0,47.0,2025,1,2024-05-01,2024-10-31,57,4,2,6,1,1,1,0,0,0,0,0,0,0,0,0,2,3,6,4,4,0,0,0,0,0,0,0,0,0,5,3,5,4,2,0,0,0,0,0,0,0,0,0,4,5,1,3,4,0,0,0,0,0,0,0,0,1,1,1,6,5,4,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,1,0,佐賀
2025,0,3212,亀本 勇樹,カメモト ユウキ,広島,B1,S,370208,1,62,162,61,A,4.28,22.7,5,13,79,0,0,0.17,11,54.5,0.14,3.4,26,23.0,0.17,3.3,14,7.1,0.17,3.4,14,7.1,0.19,3.8,10,30.0,0.13,3.0,4,25.0,0.29,5.5,B1,B1,B1,49.0,46.0,2025,1,2024-05-01,2024-10-31,57,3,3,2,1,1,1,0,0,0,0,0,0,0,0,1,5,3,3,10,4,0,0,0,0,0,0,0,0,0,1,1,7,2,2,1,0,0,0,0,0,0,0,0,1,2,4,5,2,0,0,0,0,0,0,0,0,0,3,3,0,2,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,広島
2025,0,3224,栗山 繁洋,クリヤマ シゲヒロ,佐賀,B1,S,400517,1,59,161,54,O,4.55,28.3,10,24,120,0,0,0.17,16,43.7,0.18,4.5,21,33.3,0.2,4.0,21,38.1,0.14,2.7,24,25.0,0.17,3.6,24,16.6,0.16,3.1,14,14.2,0.17,4.1,B1,B1,B1,46.0,47.0,2025,1,2024-05-01,2024-10-31,57,3,4,1,3,3,2,0,0,0,0,0,0,0,0,1,6,4,3,2,5,0,0,0,0,0,0,0,0,3,5,5,5,0,3,0,0,0,0,0,0,0,0,3,3,2,3,7,6,0,0,0,0,0,0,0,0,0,4,3,8,2,7,0,0,0,0,0,0,0,0,0,2,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,佐賀
2025,0,3226,浦田 信義,ウラタ ノブヨシ,東京,B1,S,400806,1,59,164,51,AB,4.25,23.8,5,21,109,0,0,0.18,18,33.3,0.19,4.6,21,33.3,0.17,4.0,20,25.0,0.15,3.6,19,21.0,0.18,3.4,18,11.1,0.17,4.1,13,15.3,0.21,4.5,B1,B1,B1,49.0,46.0,2025,1,2024-05-01,2024-10-31,57,2,4,5,1,2,3,1,0,0,0,0,0,0,0,2,5,0,5,5,4,0,0,0,0,0,0,0,0,0,5,5,5,4,1,0,0,0,0,0,0,0,0,1,3,4,5,4,2,0,0,0,0,0,0,0,0,0,2,0,4,8,4,0,0,0,0,0,0,0,0,0,2,0,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,東京
2025,0,3232,山川 美由紀,ヤマカワ ミユキ,香川,A1,S,411024,2,58,152,47,A,6.91,51.9,38,28,127,3,2,0.14,31,80.6,0.12,2.3,21,57.1,0.16,2.9,21,52.3,0.14,2.0,22,72.7,0.12,2.4,19,5.2,0.16,2.7,13,7.6,0.17,4.0,A2,A2,A2,55.0,56.0,2025,1,2024-05-01,2024-10-31,57,16,9,3,1,1,1,0,0,0,0,0,0,0,0,9,3,4,5,0,0,0,0,0,0,0,0,0,0,4,7,5,4,1,0,0,0,0,0,0,0,0,0,8,8,3,2,1,0,0,0,0,0,0,0,0,0,0,1,5,5,6,2,0,0,0,0,0,0,0,0,1,0,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,香川
2025,0,3233,小畑 実成,オバタ ミナリ,岡山,B1,S,420203,1,57,163,55,O,4.1,20.8,7,8,72,0,0,0.16,11,63.6,0.16,2.7,14,14.2,0.13,2.3,12,25.0,0.19,3.5,12,8.3,0.18,3.7,11,18.1,0.13,3.0,12,0.0,0.17,2.8,B1,B1,B1,47.0,45.0,2025,1,2024-05-01,2024-10-31,57,3,4,1,1,1,1,0,0,0,0,0,0,0,0,1,1,6,1,4,1,0,0,0,0,0,0,0,0,2,1,0,2,1,5,0,0,0,0,0,0,0,1,0,1,2,2,4,3,0,0,0,0,0,0,0,0,1,1,0,2,3,4,0,0,0,0,0,0,0,0,0,0,2,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,岡山
2025,0,3246,星野 政彦,ホシノ マサヒコ,兵庫,B1,S,390915,1,60,161,56,A,4.27,26.6,9,16,94,0,0,0.16,15,66.6,0.16,2.8,17,35.2,0.18,3.4,18,16.6,0.15,3.3,22,18.1,0.15,2.9,18,11.1,0.15,2.9,4,0.0,0.2,3.0,B1,B1,B1,45.0,46.0,2025,1,2024-05-01,2024-10-31,58,6,4,1,2,2,0,0,0,0,0,0,0,0,0,1,5,3,2,4,2,0,0,0,0,0,0,0,0,1,2,2,5,6,2,0,0,0,0,0,0,0,0,0,4,2,3,7,5,0,0,0,0,0,0,0,1,1,1,1,0,8,7,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,兵庫
2025,0,3251,平石 和男,ヒライシ カズオ,埼玉,A2,S,410714,1,58,164,50,B,5.8,32.8,22,27,149,2,0,0.19,26,69.2,0.18,3.7,29,44.8,0.2,4.8,26,19.2,0.18,4.4,19,21.0,0.18,4.2,30,23.3,0.2,4.6,19,10.5,0.21,5.5,A2,A2,A2,51.0,52.0,2025,1,2024-05-01,2024-10-31,58,13,5,6,1,1,0,0,0,0,0,0,0,0,0,4,9,6,8,2,0,0,0,0,0,0,0,0,0,3,2,9,3,1,8,0,0,0,0,0,0,0,0,1,3,10,1,4,0,0,0,0,0,0,0,0,0,1,6,11,5,6,1,0,0,0,0,0,0,0,0,0,2,3,5,4,4,0,0,0,0,0,0,1,0,0,0,0,0,埼玉
2025,0,3256,三角 哲男,ミスミ テツオ,東京,A1,S,420303,1,57,164,52,A,6.65,51.5,34,33,130,9,3,0.13,25,92.0,0.13,2.8,23,56.5,0.14,2.9,25,40.0,0.13,2.6,26,57.6,0.12,2.4,17,29.4,0.14,3.1,14,7.1,0.15,3.1,A1,A1,A1,57.0,54.0,2025,1,2024-05-01,2024-10-31,58,13,10,1,0,0,1,0,0,0,0,0,0,0,0,5,8,3,5,1,1,0,0,0,0,0,0,0,0,3,7,3,10,2,0,0,0,0,0,0,0,0,0,8,7,5,4,1,1,0,0,0,0,0,0,0,0,4,1,4,4,1,3,0,0,0,0,0,0,0,0,1,0,3,4,3,3,0,0,0,0,0,1,0,0,0,0,1,0,千葉
2025,0,3257,田頭 実,タドウ ミノル,福岡,A1,S,420329,1,57,157,52,O,6.62,52.7,27,21,91,3,0,0.12,22,77.2,0.1,1.6,54,44.4,0.12,2.5,12,58.3,0.1,2.1,3,0.0,0.38,4.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,A1,A1,A2,54.0,55.0,2025,1,2024-05-01,2024-10-31,58,15,2,2,1,1,1,0,0,0,0,0,0,0,0,12,12,6,10,8,6,0,0,0,0,0,1,0,0,0,7,1,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,福岡
