登番,名前漢字,名前カナ,支部,級,年号,生年月日,性別,年齢,身長,体重,血液型,勝率,複勝率,1着回数,2着回数,出走回数,優出回数,優勝回数,平均スタートタイミング,1コース進入回数,1コース複勝率,1コース平均スタートタイミング,1コース平均スタート順位,2コース進入回数,2コース複勝率,2コース平均スタートタイミング,2コース平均スタート順位,3コース進入回数,3コース複勝率,3コース平均スタートタイミング,3コース平均スタート順位,4コース進入回数,4コース複勝率,4コース平均スタートタイミング,4コース平均スタート順位,5コース進入回数,5コース複勝率,5コース平均スタートタイミング,5コース平均スタート順位,6コース進入回数,6コース複勝率,6コース平均スタートタイミング,6コース平均スタート順位,前期級,前々期級,前々々期級,前期能力指数,今期能力指数,年,期,算出期間自,算出期間至,養成期,1コース1着回数,1コース2着回数,1コース3着回数,1コース4着回数,1コース5着回数,1コース6着回数,1コースF回数,1コースL0回数,1コースL1回数,1コースK0回数,1コースK1回数,1コースS0回数,1コースS1回数,1コースS2回数,2コース1着回数,2コース2着回数,2コース3着回数,2コース4着回数,2コース5着回数,2コース6着回数,2コースF回数,2コースL0回数,2コースL1回数,2コースK0回数,2コースK1回数,2コースS0回数,2コースS1回数,2コースS2回数,3コース1着回数,3コース2着回数,3コース3着回数,3コース4着回数,3コース5着回数,3コース6着回数,3コースF回数,3コースL0回数,3コースL1回数,3コースK0回数,3コースK1回数,3コースS0回数,3コースS1回数,3コースS2回数,4コース1着回数,4コース2着回数,4コース3着回数,4コース4着回数,4コース5着回数,4コース6着回数,4コースF回数,4コースL0回数,4コースL1回数,4コースK0回数,4コースK1回数,4コースS0回数,4コースS1回数,4コースS2回数,5コース1着回数,5コース2着回数,5コース3着回数,5コース4着回数,5コース5着回数,5コース6着回数,5コースF回数,5コースL0回数,5コースL1回数,5コースK0回数,5コースK1回数,5コースS0回数,5コースS1回数,5コースS2回数,6コース1着回数,6コース2着回数,6コース3着回数,6コース4着回数,6コース5着回数,6コース6着回数,6コースF回数,6コースL0回数,6コースL1回数,6コースK0回数,6コースK1回数,6コースS0回数,6コースS1回数,6コースS2回数,コースなしL0回数,コースなしL1回数,コースなしK0回数,コースなしK1回数,出身地
3044,三宅 爾士,ミヤケ チカシ,福井,B1,S,351113,1,62,166,58,A,4.44,26.6,7,13,75,0,0,0.16,11,63.6,0.15,3.3,14,42.8,0.15,3.0,13,23.0,0.17,3.8,14,28.5,0.15,3.1,13,0.0,0.16,4.1,10,0.0,0.18,3.7,B1,B1,B1,47.0,46.0,2023,1,2022-05-01,2022-10-31,50,3,4,1,0,2,0,0,0,0,0,0,1,1,0,3,3,3,3,1,1,0,0,0,0,0,0,0,0,1,2,2,3,2,3,0,0,0,0,0,0,0,0,0,4,0,3,4,3,0,0,0,0,0,0,0,0,0,0,1,4,5,3,0,0,0,0,0,0,0,0,0,0,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,福井
3051,山口 俊英,ヤマグチ トシヒデ,佐賀,B1,S,371124,1,60,166,54,O,3.82,18.9,6,9,79,0,0,0.17,10,60.0,0.14,2.8,13,0.0,0.18,3.9,13,30.7,0.17,3.5,14,28.5,0.18,2.8,10,0.0,0.18,3.6,19,5.2,0.17,3.5,B1,B2,B2,43.0,45.0,2023,1,2022-05-01,2022-10-31,50,2,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,5,5,2,0,0,0,0,0,0,0,0,3,1,2,1,3,3,0,0,0,0,0,0,0,0,1,3,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,3,5,2,0,0,0,0,0,0,0,0,0,1,0,2,7,9,0,0,0,0,0,0,0,0,0,0,0,0,佐賀
3054,北川 幸典,キタガワ ユキノリ,広島,A2,S,380112,1,59,164,58,A,5.8,40.5,21,26,116,2,0,0.16,23,65.2,0.16,3.3,21,47.6,0.15,2.9,17,35.2,0.16,2.8,24,45.8,0.17,3.1,17,17.6,0.13,2.8,14,14.2,0.19,3.1,A2,A2,A2,51.0,51.0,2023,1,2022-05-01,2022-10-31,50,12,3,5,0,2,1,0,0,0,0,0,0,0,0,4,6,5,2,3,1,0,0,0,0,0,0,0,0,1,5,4,2,2,2,1,0,0,0,0,0,0,0,3,8,5,3,2,3,0,0,0,0,0,0,0,0,1,2,3,4,3,4,0,0,0,0,0,0,0,0,0,2,1,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,広島
3065,増田 弘喜,マスダ ヒロキ,埼玉,B1,S,341206,1,63,166,56,A,4.06,11.1,2,9,99,0,0,0.22,17,23.5,0.2,4.0,18,22.2,0.23,4.6,18,5.5,0.22,4.0,19,5.2,0.19,3.8,13,7.6,0.18,4.2,14,0.0,0.27,5.1,B1,B1,B1,48.0,47.0,2023,1,2022-05-01,2022-10-31,51,2,2,7,4,1,1,0,0,0,0,0,0,0,0,0,4,4,5,4,1,0,0,0,0,0,0,0,0,0,1,3,5,6,3,0,0,0,0,0,0,0,0,0,1,3,6,6,3,0,0,0,0,0,0,0,0,0,1,1,5,4,2,0,0,0,0,0,1,0,0,0,0,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,長崎
3066,田中 定雄,タナカ サダオ,埼玉,B1,S,350217,1,62,158,55,A,3.71,15.1,3,10,86,0,0,0.19,15,13.3,0.18,4.5,18,22.2,0.18,3.6,17,23.5,0.19,3.8,14,14.2,0.15,2.9,15,0.0,0.22,4.4,7,14.2,0.24,4.4,B1,B1,B1,47.0,45.0,2023,1,2022-05-01,2022-10-31,51,0,2,1,2,5,5,0,0,0,0,0,0,0,0,2,2,5,4,2,3,0,0,0,0,0,1,0,0,1,3,1,3,7,2,0,0,0,0,0,0,0,0,0,2,2,3,3,4,0,0,0,0,0,0,0,0,0,0,2,5,3,5,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,宮城
3070,山室 展弘,ヤマムロ ノブヒロ,岡山,A2,S,360608,1,61,168,51,A,6.22,48.8,21,21,86,3,0,0.15,17,76.4,0.13,2.8,31,58.0,0.16,3.1,14,35.7,0.14,3.3,18,22.2,0.17,3.5,6,33.3,0.12,2.8,0,0.0,0.0,0.0,A2,B1,A2,50.0,52.0,2023,1,2022-05-01,2022-10-31,51,12,1,2,2,0,0,0,0,0,0,0,0,0,0,5,13,2,5,3,2,0,0,0,0,0,0,0,1,4,1,2,2,2,3,0,0,0,0,0,0,0,0,0,4,5,5,3,1,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,岡山
3072,西田 靖,ニシダ ヤスシ,東京,B1,S,361028,1,61,161,54,B,5.01,29.0,15,17,110,1,0,0.16,19,52.6,0.16,2.6,58,24.1,0.17,3.1,25,24.0,0.13,2.3,8,25.0,0.19,3.4,0,0.0,0.0,0.0,0,0.0,0.0,0.0,B1,B1,B1,46.0,49.0,2023,1,2022-05-01,2022-10-31,51,7,3,3,3,1,2,0,0,0,0,0,0,0,0,6,8,13,9,12,10,0,0,0,0,0,1,0,0,2,4,2,7,5,5,0,0,0,0,0,0,0,0,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,神奈川
3075,中村 裕将,ナカムラ ヒロノブ,埼玉,B1,S,370824,1,60,164,53,B,5.25,36.0,24,30,150,1,0,0.14,26,76.9,0.14,2.3,29,31.0,0.14,3.0,26,34.6,0.15,3.1,26,38.4,0.12,2.4,21,23.8,0.13,1.9,22,4.5,0.17,3.9,A2,A2,A2,50.0,49.0,2023,1,2022-05-01,2022-10-31,51,13,7,1,1,3,1,0,0,0,0,0,0,0,0,2,7,8,4,4,4,0,0,0,0,0,0,0,0,2,7,7,2,6,2,0,0,0,0,0,0,0,0,4,6,3,3,4,6,0,0,0,0,0,0,0,0,2,3,3,6,7,0,0,0,0,0,0,0,0,0,1,0,2,5,4,9,1,0,0,0,0,0,0,0,0,0,0,0,埼玉
3079,新地 雅洋,シンチ マサヒロ,大阪,B1,S,380615,1,59,164,49,O,4.16,24.0,8,4,50,0,0,0.18,8,75.0,0.18,3.5,11,9.0,0.19,4.1,9,11.1,0.18,3.3,9,33.3,0.17,3.1,9,11.1,0.16,2.9,4,0.0,0.17,2.3,B1,B1,B1,46.0,45.0,2023,1,2022-05-01,2022-10-31,51,5,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,4,0,2,4,0,0,0,0,0,0,0,0,1,0,1,0,5,2,0,0,0,0,0,0,0,0,1,2,0,2,3,1,0,0,0,0,0,0,0,0,0,1,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,大阪
3081,岡本 慎治,オカモト シンジ,山口,A2,S,380713,1,59,161,52,O,5.72,43.1,21,17,88,0,0,0.17,15,86.6,0.14,2.5,16,50.0,0.2,4.0,17,23.5,0.15,3.2,15,53.3,0.17,3.4,14,21.4,0.18,3.4,11,18.1,0.19,4.3,B1,B1,B1,50.0,50.0,2023,1,2022-05-01,2022-10-31,51,12,1,1,0,1,0,0,0,0,0,0,0,0,0,3,5,1,4,1,2,0,0,0,0,0,0,0,0,1,3,5,2,4,2,0,0,0,0,0,1,0,0,3,5,0,4,1,2,0,0,0,0,0,0,0,0,1,2,2,4,3,2,0,0,0,0,0,0,0,0,1,1,0,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,山口
3105,内山 文典,ウチヤマ フミノリ,東京,B1,S,380715,1,59,165,55,A,4.71,27.2,8,13,77,0,0,0.17,13,53.8,0.15,2.9,14,50.0,0.18,3.6,10,20.0,0.18,3.5,11,18.1,0.15,3.3,14,14.2,0.18,4.2,15,6.6,0.2,4.7,B1,A2,A2,50.0,47.0,2023,1,2022-05-01,2022-10-31,52,5,2,1,2,2,1,0,0,0,0,0,0,0,0,3,4,2,2,1,2,0,0,0,0,0,0,0,0,0,2,3,3,0,1,1,0,0,0,0,1,0,0,0,2,2,3,1,3,0,0,0,0,0,0,0,0,0,2,0,4,3,5,0,0,0,0,0,0,0,0,0,1,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,東京
3107,平岡 重典,ヒラオカ シゲノリ,大阪,B1,S,381116,1,59,163,51,A,4.76,22.1,13,12,113,1,0,0.19,18,61.1,0.2,3.9,28,21.4,0.2,4.5,16,25.0,0.18,3.3,22,4.5,0.21,4.0,15,13.3,0.2,4.2,14,7.1,0.16,3.9,B1,B1,B1,47.0,49.0,2023,1,2022-05-01,2022-10-31,52,7,4,2,2,3,0,0,0,0,0,0,0,0,0,2,4,8,4,5,4,0,0,0,0,0,0,1,0,4,0,3,3,5,1,0,0,0,0,0,0,0,0,0,1,8,8,3,2,0,0,0,0,0,1,0,0,0,2,1,7,3,2,0,0,0,0,0,0,0,0,0,1,1,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,大阪
3122,高山 哲也,タカヤマ テツヤ,兵庫,B1,S,361210,1,61,164,55,A,3.82,17.0,8,9,100,0,0,0.16,13,69.2,0.16,3.5,17,17.6,0.17,3.4,17,11.7,0.14,3.0,19,15.7,0.16,3.4,17,0.0,0.16,3.6,17,0.0,0.2,3.9,B1,B1,B1,45.0,45.0,2023,1,2022-05-01,2022-10-31,53,7,2,1,1,1,1,0,0,0,0,0,0,0,0,1,2,5,2,2,5,0,0,0,0,0,0,0,0,0,2,2,1,8,4,0,0,0,0,0,0,0,0,0,3,2,7,3,4,0,0,0,0,0,0,0,0,0,0,0,8,5,4,0,0,0,0,0,0,0,0,0,0,1,3,7,6,0,0,0,0,0,0,0,0,0,0,0,0,兵庫
3123,中西 宏文,ナカニシ ヒロフミ,滋賀,B1,S,370627,1,60,159,50,O,4.3,17.5,6,10,91,0,0,0.16,14,35.7,0.13,3.4,17,29.4,0.21,4.4,21,14.2,0.14,2.9,24,8.3,0.14,3.0,10,10.0,0.16,3.6,5,0.0,0.22,5.6,B1,B1,B1,46.0,47.0,2023,1,2022-05-01,2022-10-31,53,2,3,1,2,3,2,0,0,0,0,0,0,0,1,2,3,2,7,2,1,0,0,0,0,0,0,0,0,2,1,5,6,6,1,0,0,0,0,0,0,0,0,0,2,6,4,10,2,0,0,0,0,0,0,0,0,0,1,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,滋賀
3141,山来 和人,ヤマク カズヒト,東京,B1,S,361107,1,61,160,56,O,4.18,25.4,8,18,102,0,0,0.18,15,53.3,0.18,3.8,19,31.5,0.2,3.8,16,25.0,0.17,3.3,20,10.0,0.19,3.2,21,28.5,0.18,3.4,11,0.0,0.17,3.9,B1,B1,B1,46.0,46.0,2023,1,2022-05-01,2022-10-31,54,4,4,1,3,2,1,0,0,0,0,0,0,0,0,1,5,2,2,6,3,0,0,0,0,0,0,0,0,1,3,3,2,5,2,0,0,0,0,0,0,0,0,2,0,1,7,7,3,0,0,0,0,0,0,0,0,0,6,1,3,6,5,0,0,0,0,0,1,0,0,0,0,0,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,東京
3151,落合 敬一,オチアイ ケイイチ,長崎,B1,S,390409,1,58,168,59,B,4.53,25.5,12,10,86,0,0,0.17,14,57.1,0.17,3.7,20,30.0,0.16,3.3,17,17.6,0.13,2.9,16,25.0,0.2,4.3,11,9.0,0.17,3.5,8,0.0,0.21,4.3,B1,B1,B1,45.0,47.0,2023,1,2022-05-01,2022-10-31,54,6,2,1,3,2,0,0,0,0,0,0,0,0,0,2,4,5,1,6,2,0,0,0,0,0,0,0,0,1,2,4,5,3,2,0,0,0,0,0,0,0,0,2,2,2,1,5,4,0,0,0,0,0,0,0,0,1,0,2,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,2,0,長崎
3156,金子 良昭,カネコ ヨシアキ,静岡,B1,S,391029,1,58,160,55,O,5.38,36.9,18,26,119,2,0,0.16,22,72.7,0.13,3.4,23,34.7,0.18,3.8,33,30.3,0.15,3.3,29,27.5,0.16,3.9,9,22.2,0.16,3.6,3,0.0,0.14,3.3,B1,B1,A2,49.0,50.0,2023,1,2022-05-01,2022-10-31,54,10,6,0,1,2,3,0,0,0,0,0,0,0,0,2,6,3,5,2,5,0,0,0,0,0,0,0,0,4,6,6,7,6,4,0,0,0,0,0,0,0,0,2,6,4,11,4,2,0,0,0,0,0,0,0,0,0,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,静岡
3158,島川 光男,シマカワ ミツオ,広島,A2,S,400128,1,57,161,56,O,6.02,41.4,28,23,123,4,0,0.16,21,95.2,0.16,3.0,23,43.4,0.16,3.9,20,50.0,0.15,2.7,21,38.1,0.16,3.1,19,10.5,0.15,2.6,19,5.2,0.18,4.1,B1,A1,A2,51.0,51.0,2023,1,2022-05-01,2022-10-31,54,16,4,0,1,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,2,1,0,0,0,0,0,0,0,4,6,4,2,0,3,0,0,0,0,0,0,0,1,2,6,6,2,2,2,0,0,0,0,0,0,1,0,1,1,7,5,2,3,0,0,0,0,0,0,0,0,0,1,5,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,広島
3159,江口 晃生,エグチ アキオ,群馬,A1,S,400211,1,57,165,56,AB,7.02,57.4,33,29,108,8,1,0.15,38,84.2,0.14,2.8,68,44.1,0.15,3.2,2,0.0,0.13,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,A1,A1,A1,55.0,59.0,2023,1,2022-05-01,2022-10-31,54,21,11,3,0,2,1,0,0,0,0,0,0,0,0,12,18,9,7,12,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,群馬
3161,古場 輝義,コバ テルヨシ,大阪,A2,S,350301,1,62,163,54,AB,5.55,35.9,15,31,128,3,0,0.18,27,62.9,0.16,2.8,33,36.3,0.17,3.8,31,35.4,0.2,3.7,20,25.0,0.17,4.3,13,7.6,0.2,4.1,4,0.0,0.19,5.5,A2,A2,A2,51.0,51.0,2023,1,2022-05-01,2022-10-31,55,8,9,3,5,1,1,0,0,0,0,0,0,0,0,5,7,6,7,6,2,0,0,0,0,0,0,0,0,1,10,6,7,4,3,0,0,0,0,0,0,0,0,1,4,7,6,1,1,0,0,0,0,0,0,0,0,0,1,3,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,長崎
3164,森脇 徹,モリワキ トオル,山口,B1,S,360212,1,61,159,55,B,4.78,28.0,14,11,89,0,0,0.19,13,53.8,0.23,4.1,18,38.8,0.18,3.5,13,23.0,0.22,4.2,16,25.0,0.15,2.9,15,26.6,0.19,3.0,14,0.0,0.22,5.5,B2,B1,B1,41.0,48.0,2023,1,2022-05-01,2022-10-31,55,6,1,1,2,2,1,0,0,0,0,0,0,0,0,3,4,2,5,2,2,0,0,0,0,0,0,0,0,1,2,1,6,2,1,0,0,0,0,0,0,0,0,2,2,3,4,3,2,0,0,0,0,0,1,0,0,2,2,1,3,4,3,0,0,0,0,0,0,0,0,0,0,1,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,山口
3175,渡辺 千草,ワタナベ チグサ,東京,A2,S,381215,2,59,158,48,B,5.41,30.1,14,24,126,1,0,0.16,24,29.1,0.2,3.6,21,52.3,0.12,2.6,24,37.5,0.17,3.3,23,21.7,0.13,2.8,18,16.6,0.16,3.2,16,18.7,0.17,3.9,A2,B1,B1,52.0,52.0,2023,1,2022-05-01,2022-10-31,55,7,0,6,8,1,2,0,0,0,0,0,0,0,0,1,10,7,2,0,1,0,0,0,0,0,0,0,0,3,6,6,4,5,0,0,0,0,0,0,0,0,0,2,3,3,9,4,2,0,0,0,0,0,0,0,0,1,2,3,6,5,1,0,0,0,0,0,1,0,0,0,3,3,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,神奈川
